song_name,track_href,analysis_url,energy,liveness,tempo,speechiness,uri,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,type,id,mode
Issues,https://api.spotify.com/v1/tracks/1sXUWdKx03aP9Gmzft58rt,https://api.spotify.com/v1/audio-analysis/1sXUWdKx03aP9Gmzft58rt,0.427,0.0604,113.634,0.0777,spotify:track:1sXUWdKx03aP9Gmzft58rt,0.368,0,4,0.683,8,176347,-6.827,0.431,audio_features,1sXUWdKx03aP9Gmzft58rt,1
Castle on the Hill,https://api.spotify.com/v1/tracks/66qlqxhEMpSHOzjRK4il0b,https://api.spotify.com/v1/audio-analysis/66qlqxhEMpSHOzjRK4il0b,0.834,0.14,135.007,0.0989,spotify:track:66qlqxhEMpSHOzjRK4il0b,0.0232,1.14E-05,4,0.461,2,261154,-4.868,0.482,audio_features,66qlqxhEMpSHOzjRK4il0b,1
So Good,https://api.spotify.com/v1/tracks/2cP2Xlw6ZbuQgIOs0Cn0yu,https://api.spotify.com/v1/audio-analysis/2cP2Xlw6ZbuQgIOs0Cn0yu,0.576,0.0458,82.055,0.146,spotify:track:2cP2Xlw6ZbuQgIOs0Cn0yu,0.085,0,4,0.726,0,166707,-7.341,0.797,audio_features,2cP2Xlw6ZbuQgIOs0Cn0yu,1
Scared to Be Lonely,https://api.spotify.com/v1/tracks/3ebXMykcMXOcLeJ9xZ17XH,https://api.spotify.com/v1/audio-analysis/3ebXMykcMXOcLeJ9xZ17XH,0.54,0.261,137.972,0.0576,spotify:track:3ebXMykcMXOcLeJ9xZ17XH,0.0895,0,4,0.584,1,220883,-7.786,0.19,audio_features,3ebXMykcMXOcLeJ9xZ17XH,0
Touch,https://api.spotify.com/v1/tracks/5Ua3GXyHwiSfpNTMjq6m2z,https://api.spotify.com/v1/audio-analysis/5Ua3GXyHwiSfpNTMjq6m2z,0.718,0.403,101.821,0.0978,spotify:track:5Ua3GXyHwiSfpNTMjq6m2z,0.032,0,4,0.607,4,213307,-4.095,0.521,audio_features,5Ua3GXyHwiSfpNTMjq6m2z,1
HEAVEN,https://api.spotify.com/v1/tracks/2fNi8T6DLiY9SxFnZrhOeV,https://api.spotify.com/v1/audio-analysis/2fNi8T6DLiY9SxFnZrhOeV,0.724,0.0879,144.04,0.182,spotify:track:2fNi8T6DLiY9SxFnZrhOeV,0.0925,2.23E-05,4,0.516,8,261114,-7.464,0.317,audio_features,2fNi8T6DLiY9SxFnZrhOeV,1
Paris,https://api.spotify.com/v1/tracks/15vzANxN8G9wWfwAJLLMCg,https://api.spotify.com/v1/audio-analysis/15vzANxN8G9wWfwAJLLMCg,0.644,0.0888,99.999,0.031,spotify:track:15vzANxN8G9wWfwAJLLMCg,0.0243,0,4,0.646,2,221520,-6.763,0.26,audio_features,15vzANxN8G9wWfwAJLLMCg,1
Chantaje,https://api.spotify.com/v1/tracks/1WniHvhq9zTkny0WvGXX8o,https://api.spotify.com/v1/audio-analysis/1WniHvhq9zTkny0WvGXX8o,0.756,0.163,102.033,0.0643,spotify:track:1WniHvhq9zTkny0WvGXX8o,0.168,4.65E-05,4,0.859,8,195613,-3.36,0.913,audio_features,1WniHvhq9zTkny0WvGXX8o,0
Black Beatles,https://api.spotify.com/v1/tracks/21xJVN5wEbJogczYxfZhqR,https://api.spotify.com/v1/audio-analysis/21xJVN5wEbJogczYxfZhqR,0.647,0.139,145.945,0.0628,spotify:track:21xJVN5wEbJogczYxfZhqR,0.158,0,4,0.794,0,291893,-6.232,0.345,audio_features,21xJVN5wEbJogczYxfZhqR,1
Let Me Love You,https://api.spotify.com/v1/tracks/4pdPtRcBmOSQDlJ3Fk945m,https://api.spotify.com/v1/audio-analysis/4pdPtRcBmOSQDlJ3Fk945m,0.718,0.122,199.864,0.0576,spotify:track:4pdPtRcBmOSQDlJ3Fk945m,0.0784,1.02E-05,4,0.476,8,205947,-5.309,0.143,audio_features,4pdPtRcBmOSQDlJ3Fk945m,1
Work from Home,https://api.spotify.com/v1/tracks/1JsUAmsjNz6oGuRTFG93qH,https://api.spotify.com/v1/audio-analysis/1JsUAmsjNz6oGuRTFG93qH,0.631,0.0858,104.999,0.0444,spotify:track:1JsUAmsjNz6oGuRTFG93qH,0.102,7.39E-06,4,0.803,8,216575,-4.213,0.659,audio_features,1JsUAmsjNz6oGuRTFG93qH,1
Heathens,https://api.spotify.com/v1/tracks/6i0V12jOa3mr6uu4WYhUBr,https://api.spotify.com/v1/audio-analysis/6i0V12jOa3mr6uu4WYhUBr,0.396,0.105,90.024,0.0286,spotify:track:6i0V12jOa3mr6uu4WYhUBr,0.0841,3.58E-05,4,0.732,4,195920,-9.348,0.547,audio_features,6i0V12jOa3mr6uu4WYhUBr,0
Bad and Boujee (feat. Lil Uzi Vert),https://api.spotify.com/v1/tracks/1FvU97lrWOG2NRxErh6OZz,https://api.spotify.com/v1/audio-analysis/1FvU97lrWOG2NRxErh6OZz,0.661,0.116,127.081,0.27,spotify:track:1FvU97lrWOG2NRxErh6OZz,0.0633,0,4,0.897,8,334467,-6.2,0.204,audio_features,1FvU97lrWOG2NRxErh6OZz,0
Alone,https://api.spotify.com/v1/tracks/3ujORpm8Hf7QWEtfqSAZL8,https://api.spotify.com/v1/audio-analysis/3ujORpm8Hf7QWEtfqSAZL8,0.924,0.12,97.012,0.0529,spotify:track:3ujORpm8Hf7QWEtfqSAZL8,0.196,0.000214,4,0.671,10,161145,-3.239,0.161,audio_features,3ujORpm8Hf7QWEtfqSAZL8,1
